country,video_id,clickbaitiness_score
US,VYOjWnS4cMY,28.28
US,FlsCjmMhFmw,2.87
US,ffxKSjUwKdU,76.81
US,zEf423kYfqk,14.41
US,7C2z4GqqS5E,91.56
US,M4ZoCHID9GI,31.29
US,TyHvyGVs42U,1.13
US,xTlNMmZKwpA,41.01
US,6ZfuNTqbHE8,3.42
US,-BQJo3vK8O8,19.7
US,tCXGJQYZ9JA,13.15
US,DkeiKbqa02g,17.31
US,i0p1bmr0EmE,29.24
US,aJOTlE1K90k,98.89
US,U9BwWKXjVaI,25.73
US,vjI4Alon-3Q,20.01
US,u9Mv98Gr5pY,64.51
US,LsoLEjrDogU,7.52
US,BhIEIO0vaBE,32.22
US,iWZmdoY1aTE,19.93
US,ulNswX3If6U,86.84
US,_9YMpuLDnwo,97.28
US,QwievZ1Tx-8,3.0
US,rRr1qiJRsXk,1.79
US,l_lblj8Cq0o,20.75
US,dfnCAmr569k,49.66
US,J-dv_DcDD_A,65.12
US,2Vv-BfVoq4g,8.6
US,yDiXQl7grPQ,75.02
US,oWw1BcFhk-k,13.15
US,n_W54baizX8,81.49
US,rsEne1ZiQrk,41.05
US,LryQJ25CnKU,42.17
US,rRzxEiBLQCA,3.07
US,1J76wN0TPI4,0.33
US,QgOXIEhHU1Y,43.82
US,vn9mMeWcgoM,7.42
US,QwZT7T-TXT0,54.32
US,kTlv5_Bs8aw,90.71
US,Wpm07-BGJnE,26.38
US,ZJDMWVZta3M,70.98
US,817P8W8-mGE,70.36
US,VY1eFxgRR-k,16.12
US,YBpdL9hSac4,97.95
US,J2HytHu5VBI,80.5
US,WS7f5xpGYn8,60.22
US,wfWIs2gFTAM,14.44
US,Bs-Hr-gEJAU,28.43
US,aEM2kOrrNJI,33.44
US,Bm8rz-llMhE,26.38
US,p8npDG2ulKQ,64.87
US,4kDklB6-69Q,87.24
US,VRJmcxCrAOA,96.12
US,8Y5-GI9hYcI,16.6
US,SM1w9PEQOE8,92.63
US,Ph54wQG8ynk,79.01
US,eiDiKwbGfIY,10.41
US,Mgfe5tIwOj0,14.59
US,CX11yw6YL1w,69.23
US,n1WpP7iowLc,22.97
US,sS0LCjOiIhc,92.47
US,i5qOzqD9Rms,74.1
US,cqg5oc20nxk,5.84
US,5GRyr0noXrw,2.58
US,zkG4Xpz6t68,12.73
US,E5yFcdPAGv0,20.01
US,oWjxSkJpxFU,4.14
US,20bpjtCbCz0,76.41
US,9TUBf6l7FBg,82.74
US,yvicqMrAHvQ,3.73
US,9v_rtaye2yY,5.92
US,ju_inUnrLc4,91.6
US,OK3GJ0WIQ8s,31.12
US,SCq8n_hOcN8,31.21
US,g4Hbz2jLxvQ,30.52
US,DIBw9dSVKdU,47.96
US,S9KxqRUcnCU,77.29
US,tjA7nAHOAww,8.28
US,l884wKofd54,6.64
US,MAjY8mCTXWk,95.73
US,mdWcaWBxxcY,32.43
US,MAjY8mCTXWk,95.73
US,voG07pt-KYI,20.01
US,J_CFBjAyPWE,69.05
US,EBt_88nxG4c,64.44
US,8JnfIa84TnU,7.03
US,WyZz9muaKFc,99.83
US,NooW_RbfdWI,16.1
US,V5cOvyDpWfM,80.49
US,8h--kFui1JA,26.91
US,cH4E_t3m3xM,2.76
US,wbSwFU6tY1c,7.86
US,V15BYnSr0P8,26.6
US,kton-qrKNLc,72.63
US,fAIX12F6958,70.28
US,UUkn-enk2RU,2.66
US,Zr4md5OqL60,42.97
US,XUqRem0W8L8,5.07
US,xZNBFcwd7zc,2.45
US,MuPL-PSMX0Q,54.04
US,BQ31l1gPGKM,9.22
US,wylMwU1wEOM,44.34
US,khPLWaBioOs,10.92
US,gA-NDZb29I4,9.27
US,oJ2faqXlU1s,54.89
US,6SuMbFuKDf8,46.59
US,ufynqs_COF4,27.51
US,4uTNVumfm84,97.78
US,u6unJQownW4,29.41
US,6OcOO1k-vGE,12.2
US,qZHycHI3F1Q,68.33
US,FepIkIILumA,45.83
US,wzKL-bQKcgA,28.07
US,9t9u_yPEidY,21.77
US,ryr75N0nki0,9.9
US,kX0vO4vlJuU,58.69
US,sXP6vliZIHI,73.49
US,dc89yyOS0Z8,6.38
US,Hk5dxn5dj2M,89.41
US,kFMZUxX6K6o,54.69
US,uVcvhKTVZ8g,3.3
US,9v_rtaye2yY,5.37
US,3Q2j5ApzSqs,6.69
US,XiHiW4N7-bo,14.49
US,9m9oO84Q2fk,95.7
US,JQbjS0_ZfJ0,79.22
US,eACohWVwTOc,65.29
US,36tggrpRoTI,25.16
US,pVxOVlm_lE8,9.0
US,uxbQATBAXf8,22.69
US,wJJqGh2HLM8,4.59
US,d1D1SJ-KqaQ,48.6
US,UfKmSfgFxi8,60.57
US,hYirFqEc8Tg,77.29
US,CY8E6N5Nzec,43.37
US,coOKvrsmQiI,73.9
US,DKPCBAlDw2A,65.5
US,C-rumHvmqCA,10.44
US,8MPbR6Cbwi4,51.09
US,tlILlcCE8Sc,10.01
US,oSEeK9yDNQI,13.16
US,TI5bEf-BULU,66.85
US,SA7AIQw-7Ms,31.99
US,dzxFdtWmjto,37.03
US,1FJD7jZqZEk,4.8
US,p6E9R9qv1No,8.37
US,s31XTrGJchQ,14.87
US,oRArmtMA9AI,6.38
US,df7PZIVe1lw,2.58
US,_5d-sQ7Fh5M,13.0
US,JqfuKsoEEms,0.65
US,-RmUADCWI4A,98.96
US,GpxCT36DxKg,2.17
US,VwAnsAUYnw4,30.42
US,DdLYSziSXII,21.12
US,RQUuqbzQVsY,87.62
US,v-dfygYIfLs,68.82
US,6S9c5nnDd_s,17.46
US,_hMQe2U4c6w,55.23
US,Wh1L0rOaa88,93.45
US,ktafrbsKeZw,9.34
US,90CCjgX0n20,1.57
US,ycy30LIbq4w,13.82
US,_EvMYEfF_hQ,25.79
US,_BcYBFC6zfY,28.35
US,6uJf2IT2Zh8,75.25
US,ek1ePFp-nBI,78.6
US,NukmFF__G-g,17.88
US,ox7RsX1Ee34,73.19
US,D_6QmL6rExk,83.01
US,pmMjkMtpnTc,28.24
US,SKV6h_5XFbk,29.11
US,8-Cjsnq8kVU,29.71
US,vjnqABgxfO0,86.75
US,8O_MwlZ2dEg,0.97
US,JqfuKsoEEms,0.6
US,ZEkImgh--PE,29.45
US,V69XYIRjKww,7.05
US,JcdLF6XQ0iw,67.98
US,q8v9MvManKE,86.96
US,TdyllLZeviY,39.77
US,SCq8n_hOcN8,67.11
US,-C_rvt0SwLE,76.96
US,IBVo8dfqTBc,0.86
US,NYMcACJLqJs,18.27
US,qUmfriZoMw0,1.7
US,20DPgRoyQn0,83.61
US,nQySbNGu4g0,59.4
US,p8XP7A7kvzM,39.96
US,3BJU2drrtCM,14.89
US,5sEaYB4rLFQ,7.06
US,2z3EUY1aXdY,49.38
US,oMOljrWUUXc,1.38
US,fRj34o4hN4I,72.88
US,u_SA2QkZd24,70.04
US,iILJvqrAQ_w,25.43
US,rAH8qm5oQHg,55.23
US,KiBS-dbv_x0,75.8
US,My4RA5I0FKs,9.46
US,RF-Mqs2qC-M,1.19
US,SxAp27sFaIM,28.52
US,Q9vZHbcx6cQ,20.26
US,j4KvrAUjn6c,99.62
US,ooyjaVdt-jA,44.18
US,Kc6CIwBVo5s,15.31
US,jPEYpryMp2s,3.14
US,P3Bd3HUMkyU,3.43
US,Q3jege0p0dQ,3.78
US,pKkf2KCc6xo,1.39
US,C6SZa5U8sIg,21.16
US,9jRtpMKLsts,19.36
US,H7gh2fmdjCU,74.59
US,8X2kIfS6fb8,40.1
US,9wg3v-01yKQ,7.53
US,YLPNjaAOrBw,94.6
US,iQp1_GfDhwQ,64.03
US,sIMChzE_aCo,43.6
US,elwTgpHlty0,17.46
US,5GHXEGz3PJg,84.18
US,cSp1dM2Vj48,71.5
US,dNW0B0HsvVs,5.7
US,CxGUmtRLm5g,43.52
US,KONe4SNFA64,5.71
US,r-i6XpcL1Fs,73.93
US,V1Pl8CzNzCw,14.9
US,tJfDBSWYqU8,91.79
US,M4vnmgZLA8s,9.27
US,J2m7EUwnqGg,2.52
US,MFWF9dU5Zc0,6.31
US,dKoIPuifJvE,31.48
US,rxmtHVSVjdo,29.46
US,CUNq2_VjRn4,49.81
US,AiH3nDqWr9I,6.18
US,ii3n7hYQOl4,25.41
US,-Qv6p6pTz5I,59.24
US,9oyKePWRi8Y,56.41
US,vecSVX1QYbQ,51.47
US,8_rTIAOohas,2.66
US,n5LoVcVsiSQ,21.52
US,h_O8ZvB3uEk,0.66
US,2tDKp41nrw8,95.99
US,OrnpSe4OChM,85.86
US,WfPu9Jrcpuk,34.96
US,Ml9v3wHLuWI,54.51
US,FFsp5b4AUTE,8.72
US,vDtyaRoonx4,5.67
US,56KYMMGudcU,33.12
US,Qcj15vHJTtk,2.67
US,sjVqDg32_8s,0.69
US,DSRSgMp5X1w,5.64
US,baj6llvgpWA,17.58
US,zxwfDlhJIpw,38.49
US,L3ymBk6Vb04,21.49
US,iN8zmmCRqUA,25.49
US,gR0pSSISaVk,3.94
US,k5TqNsr6YuQ,62.83
US,qfqVkEYQ1Ls,30.62
US,v7H_Or9Nr5I,46.06
US,Dan2YMDCpms,93.57
US,1PhPYr_9zRY,14.9
US,fUyU3lKzoio,21.57
US,Txlk7PiHaGk,26.53
US,fN5HV79_8B8,32.21
US,BQ_0QLL2gqI,77.48
US,Jw1Y-zhQURU,43.59
US,EhSXsTSNDyo,78.81
US,lGEY8IulWiA,39.59
US,p_IwENcMPOA,7.43
US,LgmxMuW6Fsc,72.83
US,MLVcmQ62luE,81.37
US,F4qfN5UeFvQ,60.11
US,6Q0AazVu1Tc,1.09
US,Ept29ceiVfk,94.01
US,rhhQS3ns6HU,95.2
US,J75enyWdbBM,17.82
US,3eQP6JoxtKk,46.97
US,Tn8hOPeAnIM,27.01
US,Q5KmA3Xbmqo,61.05
US,tjA7nAHOAww,7.47
US,WAwRrtH-4Lg,2.93
US,t5_dSCu_mLY,85.46
US,zi_6oaQyckM,29.87
US,425M4M3Opkk,10.4
US,CZkUNPBlJIQ,68.45
US,5_-NKRVn7IQ,9.86
US,UKserM-i0_A,6.74
US,FhllRWReNEE,3.8
US,3yy-dKTmyOo,26.89
US,_rB36UGoP4Y,99.19
US,oMCijY1XGlQ,32.34
US,_zCDvOsdL9Q,96.52
US,z1Fvrmf4BXc,58.1
US,ixxR3ZoqnF0,90.71
US,HgknAaKNaMM,78.31
US,xJrOUJpCxOE,1.7
US,305ryPvU6A8,25.56
US,c8W-auqg024,68.89
US,7bfS6seiLhk,0.59
US,8BAhwgjMvnM,38.1
US,3tUCuMSPQwE,63.03
US,J41qe-TM1DY,50.57
US,UTVpWVO4vZU,38.99
US,NaY91YjVbEM,31.1
US,9H2SSvQ8ihA,37.85
US,8fbyfDbi-MI,19.87
US,qooQd8AA7_M,20.11
US,266EI7hdjFs,1.78
US,EAGhzuitLXU,20.79
US,ShZ978fBl6Y,67.32
US,6xUPaVfmcUs,45.28
US,r-3iathMo7o,67.57
US,ai_UWoM37dI,64.64
US,VaGcPRMY5UM,31.98
US,Jodbdj52Vc0,22.88
US,qQn6TsbYrH8,23.15
US,uZ1M3DkKCEI,28.62
US,GM1QDBvzm1Y,31.69
US,p6E9R9qv1No,15.74
US,1SnWTW6YXbE,43.07
US,0l35jAGQPOI,98.56
US,FITSPSA8gQs,65.47
US,m1-rpd3S-48,11.66
US,0XuOkYlUWIs,8.66
US,vjSohj-Iclc,54.38
US,QCjk_NPsIqU,6.71
US,v6xUgawDQB0,52.75
US,0-7wMD5ISIs,71.94
US,tEnCoocmPQM,26.26
US,PjqKPHZJgF0,6.81
US,J6R0X6NTnSw,86.62
US,7iQn-toQp6A,21.61
US,vY_5EvoL1Is,0.6
US,Am6NHDbj6XA,59.23
US,WyuPSLj_6aw,7.58
US,ZQ-YX-5bAs0,77.59
US,Jcghl0lbDSk,52.86
US,5LoBGoQPUNc,9.68
US,kiE71P138rc,2.16
US,PGRcxXLfWrM,72.76
US,RFywfHsFpQM,0.67
US,nsZvmFUXkrI,30.62
US,wowAOdTYqw8,49.57
US,0YVbVXOjJv4,41.94
US,pTysrwci0pU,37.29
US,ySy8mcceTno,54.7
US,o7iL2KzDh38,81.12
US,SphTGtDlhHw,37.19
US,GEB2f5dpFXs,87.52
US,BC19fhyTG_M,9.43
US,6sHIq41sI-w,82.37
US,nRafaCcfrcI,55.44
US,ZCPwpcurYns,19.78
US,nWZMfPP34g8,47.34
US,aj8mN_7Apcw,1.22
US,kewIE0Zw6yY,93.61
US,N39uwTykTQk,37.04
US,ZUSPD9zOyJs,23.44
US,Sb_hCbZ80aQ,7.87
US,1ZAPwfrtAFY,4.57
US,4HU6Z7anycw,40.85
US,0URpDxIjZrQ,0.76
US,k2NskGo6x40,32.37
US,nVHcXZK7pKs,81.84
US,dT5ALH3ICTc,20.19
US,xYtsL9znopI,5.97
US,pcJo0tIWybY,85.28
US,x4TZEVqKIvs,59.5
US,9NC2saE5MbQ,89.47
US,7AXo-bYGXI4,5.78
US,SkcucKDrbOI,0.88
US,me5ifeBFaFo,8.53
US,cHB_s970Uyw,25.64
US,mQ055hHdxbE,29.77
US,Vm4Xn5vjqRA,39.79
US,Ye4z35i1b2Q,99.74
US,VVMCz04CmlA,10.56
US,tJv-xtxKkQY,7.19
US,a7NJ6Gek9v4,40.94
US,gPHVLxm8U-0,12.18
US,dpLrlEBFq-0,17.26
US,hEnWzvzVMaA,58.43
US,DV1OqgHb3jc,47.71
US,K5xERXE7pxI,59.77
US,u_C4onVrr8U,11.86
US,ZwoDYJWWXW0,25.32
US,MvFcY9rTPx8,17.49
US,z2kEKZ6jyQQ,19.86
US,leu-cTvMWTA,0.31
US,R10qTLfwm8E,10.05
US,GjDK_6NtYGQ,98.68
US,UNnHy6Qc5-c,39.18
US,oV0zkMe1K8s,83.25
US,kUZlz6VbMCg,16.12
US,jzLlsbdrwQk,64.84
US,r2vpDWS5ky4,35.99
US,R1TSiB9OuVM,81.45
US,Isvqg90LhqM,40.58
US,Wm8QlNCk-wg,24.23
US,SbrOMrjhyvI,3.02
US,RQZr2NgKPiU,2.5
US,M3mJkSqZbX4,31.75
US,cMD63TwzB1o,28.72
US,_QWZvU7VCn8,6.54
US,LfeEu4_vtfQ,90.19
US,V3EYjVPRClU,44.95
US,ZfHiw_LFNGw,55.7
US,7UoP9ABJXGE,80.87
US,kgaO45SyaO4,14.15
US,mUYsp5baMXo,96.0
US,pz95u3UVpaM,26.96
US,5E4ZBSInqUU,19.42
US,xxQhWrAcQnE,43.62
US,jD83QaWy8LI,25.03
US,xF99M6Zilac,95.75
US,Q1TXk7ZdiQE,49.93
US,MsQb18nU2hA,26.44
US,Fj3euSYAtnc,90.5
US,lpkRFHSpvGI,16.44
US,6jxRnodaKzE,79.66
US,kD-_iyS95AQ,80.47
US,89OP78l9oF0,65.39
US,E-u9uo0laA8,27.43
US,8LPVjHxXvJM,34.35
US,t0VsbEqfAvo,95.78
US,fuHcdFPBKy0,85.2
US,5qpjK5DgCt4,28.35
US,e77J4g0LMOk,6.63
US,Qx54quy9tDQ,42.55
US,J15vfXqnwWw,7.29
US,GfCqMv--ncA,79.12
US,OkFdqqyI8y4,28.52
US,pFc6I0rgmgY,71.95
US,OZsYiWBgFOk,93.67
US,kjC1zmZo30U,24.89
US,x3zQELlrY6A,68.68
US,bTfJa_Qb5T0,98.63
US,SagsqxiVStM,0.64
US,UfR5dKcKJvY,7.92
US,GKBI_bVFSfs,14.81
US,sdL70wkf_H0,1.3
US,ujyTQNNjjDU,34.89
US,IcDI1iWmIp8,4.61
US,Kf2-86o5S1o,67.57
US,mddRihBrWOk,1.63
US,sq4hYZlDPec,44.1
US,m4faDISwSVo,39.73
US,zDz9s2AOTVE,21.4
US,S-4rhjO6xYg,7.99
US,sYvH7Y16iUM,40.52
US,TjXQzRWmb_I,3.61
US,7kLO2AB5SPM,56.01
US,2fGXDFiFBhg,83.55
US,rFAddL8g8mw,7.72
US,BjRNY3u3bUw,54.65
US,S9ibNh16xfs,0.96
US,2SJ0hgdciNE,15.5
US,CP5Ro3oy-ec,0.41
US,DGzy8FE1Rhk,24.76
US,1lGHZ5NMHRY,61.87
US,2in8XqiElwc,67.66
US,LtpqdJkoKm8,82.3
US,pl-DjiO8das,0.92
US,fNVUTgd4pio,16.11
US,nRc0kmOYgzQ,67.95
US,UQkBcHLZOqU,95.9
US,LS5ZSkHUqBQ,1.52
US,ZhEz1cvC1rc,62.45
US,uBYzYji4rmE,72.88
US,Ya_trIAWIXA,2.85
US,KUUjtUP2CrE,58.41
US,aGl-1nwahCA,46.94
US,H14tqKZYhgg,44.13
US,doP7xKdGOKs,16.12
US,WvV5TbJc9tQ,73.72
US,CeCgsmTjHjk,76.86
